config,timestamp,running,waiting,kv_cache_usage_pct,elapsed_s
queue,23:15:49,3,4,2.2,0.0
queue,23:15:59,4,4,2.9,10.0
queue,23:16:09,4,4,2.8,20.0
queue,23:16:19,3,3,2.1,30.0
queue,23:16:29,3,3,2.1,40.0
queue,23:16:39,3,4,2.2,50.0
queue,23:16:49,4,0,2.9,60.0
kv_512,23:34:23,1,0,43.4,0.0
kv_512,23:34:33,2,6,81.8,10.0
kv_512,23:34:43,2,6,76.5,20.0
kv_512,23:34:53,2,6,84.9,30.0
kv_512,23:35:03,2,6,79.8,40.0
kv_512,23:35:13,1,6,43.8,50.0
kv_512,23:35:23,2,6,83.2,60.0
kv_512,23:35:33,2,6,77.9,70.0
kv_512,23:35:43,2,6,86.1,80.0
kv_512,23:35:53,2,6,81.0,90.0
kv_512,23:36:03,2,6,75.5,100.0
kv_512,23:36:13,2,6,84.1,110.0
kv_512,23:36:23,2,6,78.7,120.0
kv_512,23:36:33,2,6,87.3,130.0
kv_512,23:36:43,2,6,81.8,140.0
kv_512,23:36:53,2,6,76.3,150.0
kv_512,23:37:03,2,6,84.9,160.0
kv_512,23:37:13,2,6,79.5,170.0
kv_512,23:37:23,2,6,87.7,180.0
kv_512,23:37:33,2,6,82.6,190.0
kv_512,23:37:43,2,6,76.7,200.0
kv_512,23:37:53,2,6,85.3,210.0
kv_512,23:38:03,2,6,79.5,220.0
kv_512,23:38:13,1,6,43.8,230.0
kv_512,23:38:23,2,6,82.6,240.0
kv_512,23:38:33,2,6,77.1,250.0
kv_512,23:38:43,2,6,85.3,260.0
kv_512,23:38:53,2,6,80.2,270.0
kv_512,23:39:03,1,6,43.8,280.0
kv_512,23:39:13,2,6,83.0,290.0
kv_512,23:39:23,2,2,77.5,300.0
kv_512,23:39:33,2,0,86.1,310.0
kv_2048,23:56:23,8,0,76.0,0.0
kv_2048,23:56:33,8,0,78.8,10.0
kv_2048,23:56:43,8,0,81.3,20.0
kv_2048,23:56:53,8,0,84.0,30.0
kv_2048,23:57:03,8,0,86.5,40.0
kv_2048,23:57:13,3,5,21.9,50.0
kv_2048,23:57:23,7,1,59.6,60.0
kv_2048,23:57:33,8,0,77.0,70.0
kv_2048,23:57:43,8,0,79.7,80.0
kv_2048,23:57:53,8,0,82.1,90.0
kv_2048,23:58:03,8,0,84.6,100.0
